Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150,Var151,Var152,Var153,Var154,Var155,Var156,Var157,Var158,Var159,Var160,Var161,Var162,Var163,Var164,Var165,Var166,Var167,Var168,Var169,Var170,Var171,Var172,Var173,Var174,Var175,Var176,Var177,Var178,Var179,Var180,Var181,Var182,Var183,Var184,Var185,Var186,Var187,Var188,Var189,Var190,Var191,Var192,Var193,Var194,Var195,Var196,Var197,Var198,Var199,Var200,Var201,Var202,Var203,Var204,Var205,Var206,Var207,Var208,Var209,Var210,Var211,Var212,Var213,Var214,Var215,Var216,Var217,Var218,Var219,Var220,Var221,Var222,Var223,Var224,Var225,Var226,Var227,Var228,Var229,Var230,0
,,,,,1624.0,7.0,,,,,,1952.0,,,,,,,,220.0,275.0,,0.0,112.0,,,220.08,,,,,,,0.0,,,302460.0,,,,,,0.0,,,,,,,,,,,,,1.659261,,,,,,,,27.0,,,,,,,9.0,208,539.0,,5995480.0,,0.0,,,49480.2,,5.0,,4.0,,,,,,,,,6267.0,,,,,,,,,,,,,,,48.0,,,72.0,123672.0,,,,,,1150.0,,,,48.0,,1503.0,,,,,,,0.0,8760650.0,57250.0,,,,,,460.0,,,0.0,54.0,,,,,0.0,,,,10447480.0,,,,,,,42.0,,,137892.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,uGLq9ayE15,vuPfq6YcbX,,CiJDdr4TQ0rGERIS,1K8T,PJLW,fhk21Ss,76j2P_OLn0,,,kVZt,9_Y1,vm5R,VpdQ,y6dw,7M47J5GA0pTYIFxg5uy,kIsH,,uKAI,L84s,_5OXC8MSLt,,,,LxWMK5e,XqfQ,UYBR,FzaX,4UxGlow,oslk,catzS2D,jySVZNlOJy,,,7P5s,ZI9m,NoEd,am7c,,-1
,,,,32315.0,,,,,0.0,,,,,,17.48,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,4.195899,,,0.0,8.0,,,,,,0.0,,2158956.0,0.0,66.0,,10,,,,,,,0.0,,,,,,,,,,,44.0,,2.0,,,,18.0,,,,,,0.0,,,,6.0,,,,130845.6,,-1358688.0,,,,,,,6.0,,,,,,-14.0,,,,,,,,,,,,,172800.0,,,,,,,0.0,2.0,88.0,,,0.0,,,,,,8.0,,,,,,,,,56.0,,,,,,28.0,,,,,,,,,,,,,,,,,,,,qXhPe2ftjz,RO12,,taul,1K8T,TyGl,p2oeZ9L,yImeM5arGtWB5q3y,,,__1B,9_Y1,mTeA,VpdQ,,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,KdSa,,,7WwwAA_,RkEE,UYBR,FzaX,SCnAQQR,oslk,WC7IXkw,LM8l689qOp,,,FSa2,RAYp,F2FyR07IdsN7I,,,-1
,,,,,931.0,7.0,,,,,,16.0,,,,,,,,156.0,195.0,,0.0,48.0,,,286.96,,,,,,,0.0,,,3081624.0,,,,,,0.0,,,,,,,,,,,,,0.385815,,,,,,,,9.0,,,,,,,,174,7.0,,3143800.0,,0.0,,,193639.2,,10.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,56.0,172404.8,,,,,,590.0,,,,42.0,,2142.0,-18.0,,,,,,0.0,4131780.0,880788.0,,,,,,105.0,,,0.0,18.0,,,,,0.0,,,,9929640.0,,,,,,,30.0,,,1036800.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,xddq9ayfAo,2Knk1KF,,LfvqpCtLOY,1K8T,PJLW,fhk21Ss,bGUqwlz,FLXGL7c,,Q4M3,9_Y1,vm5R,VpdQ,giwq,7M47J5GA0pTYIFxg5uy,kIsH,,uKAI,Mtgm,TVE1uh4F_wOi_,,wgPTDJY,,CWN0VD0,yEnX,cJvF,FzaX,4UxGlow,zCkv,catzS2D,LM8l689qOp,,ELof,7P5s,ZI9m,TCU50_Yjmm6GIBZ0lL_,mj86,,-1
,,,,,812.0,7.0,,,,,,396.0,,,,,,,,104.0,130.0,,0.0,40.0,,,186.64,,,,,,,0.0,,,854544.0,,,,,,0.0,,,,,,,41544.0,,,,,,3.374493,,,,,,,,9.0,,,,,,,3.0,30,154.0,,492344.0,,0.0,,,136328.4,,10.0,,2.0,,,,,,,,,894.0,,,,,,,,,,,,,,,24.0,,,48.0,-298403.6,,,,,,630.0,,,,36.0,,34866.0,-26.0,,,,,,0.0,2859340.0,1990732.0,,,,,,225.0,,,0.0,27.0,,,,,0.0,,,,8066960.0,,,,,,,12.0,,,502092.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,KXMrEyXXnK,RO12,,taul,1K8T,487l,8XsYR4W,P9HTde2,,,j8N7,9_Y1,SkZj,VpdQ,wMei,me75fM6ugJ,kIsH,,uKAI,L84s,h0lfDKh52u4GP,,,,IoI4mKe,YBeY,UYBR,FzaX,MQGm0jM,oslk,Mo7Muea,LM8l689qOp,,,Aoh3,RAYp,F2FyR07IdsN7I,,,-1
,,,,,665.0,7.0,,,,,,12.0,,,,,,,,132.0,165.0,,6.0,16.0,,,166.56,,,,,,,0.0,,,10158.0,,,,,,0.0,,,,,,,,,,,,,0.3561205,,,,,,,,9.0,,,,,,,,70,21.0,,99824.0,,0.0,,,5316.18,,30.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,64.0,-1840.2279999999998,,,,,,525.0,,,,36.0,,144.0,22.0,,,,,,0.0,44060.0,4190.0,,,,,,35.0,,,0.0,0.0,,,,,23919.0,,,,128288.0,,,,,,,22.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,270.0,,,CEaWq69cTy,RO12,SEuy,taul,1K8T,lK27,meVMnpH,9YucVgBYRN,0ZHZlqS,smXZ,0xFv,9_Y1,RVjC,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,3MM3wKy,,mAjbk_S,Kz6e,UYBR,FzaX,OwlvdH_,oslk,pDgO8fW,jySVZNlOJy,,kG3k,FSa2,RAYp,F2FyR07IdsN7I,mj86,,-1
,,,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,331.52,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.7919248000000001,,,,,,,,9.0,,,,,,,3.0,12,0.0,,0.0,,3.0,,,0.0,,0.0,,0.0,,,,,,,,,19515.0,,,,,,,,,,,,,,,,,,0.0,-500104.0,,,,,,0.0,,,,0.0,,0.0,4.0,,,,,,16.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,7.0,,,,,,,,204.0,,,75lTmBtFkL,RO12,,taul,1K8T,TyGl,0Vr7wZ4,SpValTYjm4,,,83Vt,9_Y1,C6Eu,VpdQ,IYzP,Kxdu,kIsH,,uKAI,L84s,FMSzZ91zL2,,,,y5F4u4t,7Aay,cJvF,FzaX,XbZitea,zCkv,DHPNgqU,LM8l689qOp,,,rgKb,6fzt,SbOd7O8ky1wGNxp0Arj0Xs,,,-1
,,,,,1176.0,7.0,,,,,,172.0,,,,,,,,124.0,155.0,,6.0,16.0,,,226.8,,,,,,,0.0,,,4214310.0,,,,,,0.0,,,,,,,,,,,,,1.317026,,,,,,,,9.0,,,,,,,3.0,78,0.0,,2231744.0,,0.0,,,40514.1,,15.0,,2.0,,,,,,,,,31869.0,,,,,,,,,,,,,,,56.0,,,56.0,262746.4,,,,,,525.0,,,,42.0,,1215.0,30.0,,,,,,0.0,2267900.0,81426.0,,,,,,730.0,,,0.0,9.0,,,,,178248.0,,,,6979680.0,,,,,,,22.0,,,76038.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,240.0,,,npOt0G8EIb,RO12,,taul,1K8T,wOc1,hWv5xck,e1XhvTunuD,jhoHGqD,,Opu2,9_Y1,e7QV,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,ZGzQ3tH,,mAjbk_S,_jMZ,UYBR,FzaX,MQG88FJ,oslk,865zgmc,LM8l689qOp,,ELof,fKCe,RAYp,F2FyR07IdsN7I,am7c,,-1
,,,,,896.0,7.0,,,,,,2828.0,,,,,,,,136.0,170.0,,4.0,56.0,,,260.24,,,,,,,0.0,,,7082220.0,,,,,,0.0,,,,,,,,,,,,,4.764794,,,,,,,,27.0,,,,,,,3.0,104,42.0,,1773096.0,,0.0,,,202162.5,,15.0,,4.0,,,,,,,,,391389.0,,,,,,,,,,,,,,,48.0,,,40.0,65118.0,,,,,,570.0,,,,84.0,,31023.0,,,,,,,0.0,829420.0,964150.0,,,,,,615.0,,,0.0,45.0,,,,,622937.0,,,,9927880.0,,,,,,,6.0,,,1036800.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,ZSNrjIX0Db,2Knk1KF,,taul,z3mO,TyGl,8Kc4q6X,wD13J6M,YDe4sUB,,Doz5,9_Y1,YBFS,VpdQ,haYg,me75fM6ugJ,kIsH,,uKAI,L84s,XfqtO3UdzaXh_,,KKhs6_O,,XTb4AFX,L0IN,cJvF,FzaX,TZCm94s,oslk,ofmiST9,LM8l689qOp,,ELof,5Acm,RAYp,55YFVY9,mj86,,-1
,,,,,1099.0,28.0,,,,,,17212.0,,,,,,,,148.0,185.0,,2.0,32.0,,,220.08,,,,,,,0.0,,,6739200.0,,,,,,0.0,,,,,,,,,,,,,6.954497,,,,,,,,54.0,,,,,,,12.0,130,1162.0,,528624.0,,0.0,,,189063.6,,45.0,,8.0,,,,,,,,,14043.0,,,,,,,,,,,,,,,48.0,,,16.0,119559.6,,,,,,530.0,,,,78.0,,7524.0,,,,,,,0.0,2013500.0,515372.0,,,,,,5085.0,,,0.0,18.0,,,,,26341.0,,,,10345360.0,,,,,,,10.0,,,583590.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,u6tWq6edh4,2Knk1KF,SEuy,taul,1K8T,JLbT,rPAblEW,V6XUlxabJ4VaD,OJ0rGm3,smXZ,Qera,9_Y1,_xpN,VpdQ,sYC_,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,YokAwjZ,,beK4AFX,cjoD,UYBR,FzaX,bEm38SL,oslk,serQJQm,jySVZNlOJy,,kG3k,FSa2,RAYp,55YFVY9,am7c,,-1
,0.0,12.0,,,,,,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,345600.0,,,,8.0,,,5.0,,,8.0,,,0.0,,,,,8.0,,432000.0,5.524461,,610702.2,,,,,,,,,91.0,,,,,6,,10.0,,,,,,,,,28.0,,,,,6.0,,,434756.0,,,366546.0,0.0,,,,,,,,72.0,48.0,,,,,,,,-1403836.0,1949692.0,36.0,,,3.0,,,,0.0,,,,-24.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,0.0,,,,,,,,12.0,,,,,,4.0,3024000.0,10.0,,,,,172800.0,20.0,,,,290.16,216.0,,,kMJt0GoOh3,RO12,,taul,1K8T,JLbT,PthZnug,8_JUVIU,,,G4wi,9_Y1,rGJy,VpdQ,,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,,,7WwOAni,B8Bw,UYBR,FzaX,ZLrRJnY,oslk,VS4zGlY,LM8l689qOp,4n2X,,Qu4f,RAYp,F2FyR07IdsN7I,,,-1
