,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150,Var151,Var152,Var153,Var154,Var155,Var156,Var157,Var158,Var159,Var160,Var161,Var162,Var163,Var164,Var165,Var166,Var167,Var168,Var169,Var170,Var171,Var172,Var173,Var174,Var175,Var176,Var177,Var178,Var179,Var180,Var181,Var182,Var183,Var184,Var185,Var186,Var187,Var188,Var189,Var190,Var191,Var192,Var193,Var194,Var195,Var196,Var197,Var198,Var199,Var200,Var201,Var202,Var203,Var204,Var205,Var206,Var207,Var208,Var209,Var210,Var211,Var212,Var213,Var214,Var215,Var216,Var217,Var218,Var219,Var220,Var221,Var222,Var223,Var224,Var225,Var226,Var227,Var228,Var229,Var230
32823,,,,0.0,,,,,,,,,,,,,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,4.437513,,,,,,,,,,,,,,,,8,,,,,,,,,0.0,,,,,,30.0,,,,,,,,,,,40.0,,0.0,,,,,0.0,,,,,,,-330044.4,,,,17812.0,,,,,,,0.0,,-28.0,0.0,42.0,,,,,,,342.02,,,0.0,,,,,,,36.0,,,,,13845.0,,12.0,,,5.0,,,0.0,,,9.0,,,0.0,0.0,,,,,,17512.47,,,0.0,,,,,0.0,,,70050.0,,,,,,,,,r__I,xddq9ayfAo,RO12,,taul,1K8T,PJLW,8ij6Lg8,r83_sZi,,,VUbk,9_Y1,vm5R,VpdQ,,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,NGZxnJM,uzen,cJvF,FzaX,7OmVzos,oslk,76DJixu,LM8l689qOp,,,7P5s,RAYp,F2FyR07IdsN7I,,
16298,,,,,,2632.0,7.0,,,,,,760.0,,,,,,,,676.0,845.0,,10.0,416.0,,,166.56,,,,,,,0.0,,,47220.0,,,,,,0.0,,,,,,,,,,,,,3.363597,,,,,,,,9.0,,,,,,,3.0,138,56.0,,540824.0,,0.0,,,4549.83,,20.0,,14.0,,,,,,,,,333534.0,,,,,,,,,,,,,,,104.0,,,200.0,9426.72,,,,,,2750.0,,,,84.0,,23508.0,4.0,,,,,,0.0,591805.0,235678.0,,,,,,5540.0,,,0.0,9.0,,,,,90489.0,,,,1307384.0,,,,,,,134.0,,,76296.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,oUPBcmzkzH,AERks4l,,taul,1K8T,0WHw,SlHASYT,bGUqwlz,G8r83Ka,,8Fgk,9_Y1,EwzD,VpdQ,haYg,DHn_WUyBhW_whjA88g9bvA64_,kIsH,,uKAI,L84s,CrNX,,JIHIyxr,,AuSBTw7,hgaN,cJvF,FzaX,uMOQNBG,d0EEeJi,x3a7KuW,LM8l689qOp,,ELof,Qcbd,nIGXDli,ib5G6X1eUxUn6,mj86,
28505,,0.0,192.0,,,,,,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,69068.0,,,,24.0,,,0.0,,3767.0,12.0,,,0.0,,,,,0.0,,0.0,6.925444000000001,,661535.1,,,,,,,,,168.0,,,,,6,,15.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,4.0,,,,,,,,144.0,96.0,,,,,,,,-1030332.0,3207580.0,45.0,,,,,,,0.0,,,,-18.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,60642.0,,,,,,,,9.0,,,,,,0.0,7421190.0,15.0,,,,,518400.0,52.0,,,,291.06,,,,DHeTmBftjz,RO12,,taul,1K8T,EWYi,Nn3wY8e,nCPyCD5j0B,,,dadT,9_Y1,4N0K,09_Q,,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,,,7WwOAni,HsM8,UYBR,,75wv48t,oslk,xKQ2fT4,,4n2X,,Qu4f,RAYp,F2FyR07IdsN7I,,
6689,,,,,,770.0,7.0,,,,,,352.0,,,,,,,,136.0,170.0,,0.0,32.0,,,186.64,,,,,,,0.0,,,4297212.0,,,,,,0.0,,,,,,,,,,,,,4.832301,,,,,,,,18.0,,,,,,,3.0,68,28.0,,4147200.0,,3.0,,,225750.3,,15.0,,0.0,,,,,,,,,567.0,,,,,,,,,,,,,,,32.0,,,48.0,145195.6,,,,,,500.0,,,,54.0,,522.0,44.0,,,,,,16.0,4652305.0,562046.0,,,,,,120.0,,,0.0,9.0,,,,,0.0,,,,10478080.0,,,,,,,24.0,,,0.0,,,,,,,,,,0.0,,,,,,,,7.0,,,,,,,,,,,mzKvyx8zhV,RO12,,taul,1K8T,Guv5,innngaa,nQU2P_OLn0,,,A0ND,9_Y1,MBhA,VpdQ,43pnToF,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,NGZMmo2,rSdj,UYBR,OFWH,1FARoKG,oslk,CnZoIp0,jySVZNlOJy,,,WqMG,RAYp,F2FyR07IdsN7I,am7c,
26893,,,,,,980.0,0.0,,,,,,0.0,,,,,,,,384.0,480.0,,10.0,288.0,,,308.4,,,,,,,0.0,,,5437128.0,,,,,,0.0,,,,,,,,,,,,,1.07178,,,,,,,,9.0,,,,,,,3.0,28,0.0,,1712320.0,,0.0,,,127713.0,,40.0,,12.0,,,,,,,,,55155.0,,,,,,,,,,,,,,,96.0,,,72.0,181850.0,,,,,,1390.0,,,,102.0,,0.0,-22.0,,,,,,0.0,4029150.0,360920.0,,,,,,0.0,,,0.0,0.0,,,,,426650.0,,,,10563520.0,,,,,,,40.0,,,207864.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,qXh9tYsdof,AERks4l,,taul,1K8T,ssAy,d9JMvt2,bGUqwlz,,,UdO_,9_Y1,YULl,VpdQ,IYzP,GjJ35utlTa_GNSvxxpb9ju,kIsH,,uKAI,Mtgm,JBfYVit4g8,,,,TDctq2l,yOOA,UYBR,FzaX,joSSYVh,Al6ZaUT,JyKROSq,LM8l689qOp,,,FSa2,02N6s8f,xwM2aC7IdeMC0,,
36572,,,,,,217.0,0.0,,,,,,0.0,,,,,,,,40.0,50.0,,0.0,8.0,,,253.52,,,,,,,0.0,,,9648900.0,,,,,,0.0,,,,,,,,,,,,,5.490067,,,,,,,,9.0,,,,,,,3.0,20,0.0,,1292136.0,,0.0,,,316614.0,,0.0,,0.0,,,,,,,,,103518.0,,,,,,,,,,,,,,,8.0,,,8.0,276050.0,,,,,,300.0,,,,30.0,,0.0,-28.0,,,,,,0.0,1670405.0,1209600.0,,,,,,0.0,,,0.0,18.0,,,,,0.0,,,,10834200.0,,,,,,,6.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,312.0,,,51rt0G8rTN,RO12,,taul,1K8T,EPHy,4ETWoxI,5q1hF23,,,Av9x,9_Y1,k13i,VpdQ,zm5i,DHn_WUyBhW_whjA88g9bvA64_,kIsH,,uKAI,L84s,CrNX,,,,NGZ_12K,,,FzaX,WEgGQrn,d0EEeJi,OqvVRqY,LM8l689qOp,,,fKCe,nIGXDli,F2FyR07IdsN7I,,
12335,,,,,,651.0,7.0,,,,,,108.0,,,,,,,,136.0,170.0,,0.0,40.0,,,166.56,,,,,,,0.0,,,9906.0,,,,,,0.0,,,,,,,,,,,,,0.2407605,,,,,,,,9.0,,,,,,,3.0,42,42.0,,86864.0,,0.0,,,2558.3579999999997,,0.0,,0.0,,,,,,,,,53397.0,,,,,,,,,,,,,,,16.0,,,72.0,8236.0,,,,,,410.0,,,,12.0,,35073.0,18.0,,,,,,0.0,70715.0,5342.0,,,,,,1925.0,,,0.0,0.0,,,,,0.0,,,,117292.0,,,,,,,36.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,450.0,,,FAJgUH7ejg,RO12,,taul,1K8T,lK27,9GJGgoz,P9HTde2,,,u8XF,9_Y1,DmlN,VpdQ,IYzP,Kxdu,kIsH,,uKAI,L84s,FMSzZ91zL2,,,,kq067VR,FCE1dae,cJvF,AU8pNoi,Tvpip6Z,zCkv,hHJsvbM,LM8l689qOp,,,w_Ub,6fzt,SbOd7O8ky1wGNxp0Arj0Xs,,
29591,,,,,,763.0,0.0,,,,,,0.0,,,,,,,,208.0,260.0,,0.0,48.0,,,566.32,,,,,,,0.0,,,8516580.0,,,,,,0.0,,,,,,,,,,,,,5.847468,,,,,,,,9.0,,,,,,,,42,0.0,,0.0,,0.0,,,167179.5,,20.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,0.0,179286.8,,,,,,570.0,,,,108.0,,3330.0,,,,,,,0.0,535610.0,864092.0,,,,,,0.0,,,0.0,9.0,,,,,0.0,,,,9908000.0,,,,,,,44.0,,,1036800.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,oUPBcmzkzH,RO12,,taul,1K8T,OTVu,QPT_L_f,dP3ZfWRIKJ,,,sGGa,9_Y1,EwzD,VpdQ,zm5i,DHn_WUyBhW_whjA88g9bvA64_,kIsH,,uKAI,L84s,CrNX,,,,NGZ_12K,Cnzq,UYBR,,N0i4SvU,d0EEeJi,9i2eiun,,,,Qcbd,nIGXDli,F2FyR07IdsN7I,,
18948,,,,,,189.0,7.0,,,,,,2392.0,,,,,,,,20.0,25.0,,0.0,0.0,,,317.44,,,,,,,0.0,,,15072300.0,,,,,,9.0,,,,,,,,,,,,,1.533219,,,,,,,,9.0,,,,,,,,154,322.0,,0.0,,9.0,,,217611.6,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,121598.0,,,,,,340.0,,,,30.0,,5157.0,-6.0,,,,,,40.0,0.0,0.0,,,,,,2150.0,,,0.0,18.0,,,,,0.0,,,,10048200.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,7.0,,,,,,,,330.0,,,tr0rEyXktW,2Knk1KF,SEuy,taul,1K8T,YFAj,hWvxT1D,6JhQ5n9,uuw5IwZ,smXZ,fmhz,9_Y1,SkZj,sJzTlal,kxE9,me75fM6ugJ,sBgB,,uKAI,Mtgm,XfqtO3UdzaXh_,,yl8QbPB,,XTbPUYD,9gPm,UYBR,FzaX,Yo368SY,oslk,u0oAwsZ,LM8l689qOp,,kG3k,Aoh3,RAYp,TCU50_Yjmm6GIBZ0lL_,am7c,
31067,,,,,,1036.0,7.0,,,,,,2556.0,,,,,,,,0.0,0.0,,,0.0,,,220.08,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,2.846828,,,,,,,,9.0,,,,,,,3.0,58,70.0,,0.0,,0.0,,,39900.0,,0.0,,0.0,,,,,,,,,139221.0,,,,,,,,,,,,,,,,,,0.0,-269780.4,,,,,,60.0,,,,0.0,,29223.0,,,,,,,0.0,0.0,0.0,,,,,,5595.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,dRaTmBfHUn,RO12,,taul,1K8T,g6No,qEdASpP,h3WsUQk,3VutwUr,,Dyax,9_Y1,Z5OU,VpdQ,sYC_,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,2z5TZBm,,kq0n8Bj,xoA4,cJvF,qxDb,0AJo2f2,oslk,2Kb5FSF,LM8l689qOp,,ELof,Qu4f,RAYp,F2FyR07IdsN7I,mj86,
