,0
32823,-1
16298,-1
28505,-1
6689,-1
26893,-1
36572,-1
12335,-1
29591,-1
18948,-1
31067,1
22241,-1
13787,-1
5128,-1
9125,-1
35041,-1
3510,-1
16441,-1
19463,-1
26283,-1
36216,-1
17407,-1
10919,-1
30866,-1
34436,-1
12701,-1
35676,-1
34089,-1
21261,-1
26173,-1
28283,-1
37266,-1
32506,-1
33381,1
39380,1
20845,-1
252,-1
35119,-1
3434,1
1278,-1
8285,-1
15215,-1
2624,1
3698,-1
6039,-1
4095,-1
39574,-1
14775,-1
39974,-1
14518,-1
314,-1
5787,-1
10859,-1
20809,-1
22987,-1
27031,-1
14998,-1
38588,-1
33052,-1
27996,-1
28904,-1
28177,-1
32862,-1
35302,-1
31370,-1
22667,-1
24533,-1
1566,-1
12296,-1
34134,-1
16810,-1
14470,-1
27084,-1
21047,-1
36979,1
32734,-1
32798,-1
22898,-1
4859,1
8648,-1
38406,-1
38975,-1
3719,-1
15280,-1
13125,-1
24168,-1
31578,-1
15146,-1
31543,-1
25649,-1
37863,-1
29169,1
14075,-1
20451,-1
9536,-1
10642,-1
30745,-1
4750,-1
36513,-1
24787,-1
7306,-1
13143,-1
27415,-1
25484,1
1484,-1
35900,-1
13253,-1
8891,-1
23163,-1
8895,-1
26782,1
34569,-1
816,-1
6401,-1
1464,-1
27809,-1
37677,-1
6275,-1
28737,-1
2507,-1
21746,-1
34165,-1
11897,-1
4178,-1
28722,-1
21802,-1
23587,-1
625,-1
19903,-1
23138,-1
26907,-1
14857,-1
31835,-1
16367,-1
3705,-1
6224,-1
20856,-1
35489,-1
4273,-1
16293,-1
39520,-1
6892,-1
28785,-1
12619,-1
18636,-1
9801,-1
9836,-1
17162,-1
15395,-1
734,-1
36023,-1
20962,-1
32044,-1
34194,-1
32370,-1
33013,-1
19822,-1
18529,-1
8153,-1
4741,-1
34382,-1
38990,-1
11854,-1
8476,-1
30441,-1
38327,-1
6596,-1
22991,-1
14803,-1
5373,-1
25796,-1
38261,-1
34487,-1
36135,1
7481,-1
15199,-1
30361,-1
6521,-1
15468,-1
19591,-1
32377,-1
28680,-1
25456,-1
35770,-1
23096,1
20818,-1
10080,-1
21151,-1
23659,-1
33372,-1
25949,-1
18068,-1
38064,-1
23738,-1
21789,-1
27296,-1
17047,-1
36949,-1
5525,-1
35929,-1
23530,-1
9207,-1
19174,-1
17176,-1
32704,-1
13596,-1
21671,-1
9312,-1
31863,-1
953,-1
15686,-1
465,-1
19649,-1
20297,-1
32489,1
21443,-1
34428,-1
30291,-1
39029,-1
36574,-1
23732,-1
24823,-1
10026,-1
13962,-1
4056,-1
30044,1
28501,1
19237,-1
35521,-1
11212,-1
28232,-1
35914,-1
25661,-1
38732,-1
3108,-1
29644,-1
11198,-1
34600,-1
6550,-1
20004,-1
3438,-1
7431,-1
32585,-1
23981,1
33117,-1
19662,-1
29713,-1
14121,-1
5683,-1
6216,-1
9701,-1
7369,-1
14867,-1
1487,-1
27647,-1
23971,-1
38027,-1
24750,-1
28672,-1
31861,-1
23087,-1
21287,-1
32681,-1
38553,-1
6072,-1
36916,-1
14913,-1
7414,-1
4867,-1
9590,1
8191,-1
28438,-1
25753,-1
27640,-1
8986,-1
17306,-1
20944,-1
4280,-1
7852,-1
18314,-1
30231,-1
4217,-1
1392,-1
2915,-1
26192,-1
27625,-1
6946,-1
7656,1
17990,-1
9535,-1
14712,1
12235,-1
38599,-1
25295,-1
8054,1
15953,-1
27059,-1
34568,-1
30690,-1
25545,-1
11641,-1
30888,-1
38610,-1
27150,-1
28342,-1
16794,-1
5183,-1
2494,-1
31545,-1
8248,-1
6839,1
30997,-1
27030,-1
109,-1
30588,-1
15259,-1
36153,-1
22428,-1
15497,-1
39191,-1
25404,-1
12933,-1
32609,-1
26726,-1
36532,-1
9595,1
23166,1
13019,-1
5478,-1
22761,-1
5882,-1
34398,-1
17967,-1
14668,-1
1402,-1
29008,-1
16315,-1
9289,-1
16900,1
10226,-1
18628,-1
29898,-1
31657,-1
25196,-1
32148,1
18992,-1
39238,-1
14146,-1
1670,-1
33645,-1
18304,-1
39586,-1
31458,-1
36494,1
35228,-1
34617,-1
24219,1
30769,-1
18611,-1
20395,-1
21900,-1
5040,-1
3876,-1
8317,-1
20046,-1
1911,-1
19151,-1
16675,-1
37363,-1
15214,-1
3219,-1
9192,-1
20728,-1
30821,1
11081,-1
27003,-1
5501,-1
32523,-1
39925,-1
35083,-1
35550,-1
38908,-1
1536,-1
25524,-1
30532,-1
35967,-1
21193,-1
19244,-1
18734,1
3074,-1
17520,-1
36669,-1
23182,-1
18808,-1
14832,-1
2741,-1
18720,-1
16942,-1
8829,-1
5100,-1
13925,-1
20937,-1
18963,-1
10741,-1
10428,-1
11965,-1
36824,-1
26540,-1
8739,-1
2182,-1
33976,-1
24428,-1
23670,-1
4630,-1
3461,-1
30884,-1
27205,1
12623,-1
16144,-1
2158,-1
24572,-1
21641,-1
23875,-1
33327,-1
18926,1
36578,-1
31266,-1
25511,-1
4672,-1
6972,-1
4265,-1
30059,-1
26618,-1
12435,-1
15117,-1
21124,1
15518,-1
18310,-1
31487,-1
6181,-1
19034,-1
23441,-1
15499,-1
7560,1
6742,-1
32484,-1
34244,-1
9016,-1
15607,-1
13835,1
34735,-1
30490,-1
22160,-1
35784,-1
31092,-1
2308,-1
34677,1
33250,-1
21535,-1
26644,-1
5426,-1
9841,-1
32964,-1
30647,-1
7721,-1
6188,-1
25086,-1
11127,-1
4785,-1
1796,-1
6620,-1
33770,-1
32899,-1
39704,-1
15341,-1
39507,-1
2541,-1
39992,-1
15002,-1
33202,-1
34429,-1
12923,-1
12029,1
3899,-1
28335,-1
19771,-1
5034,-1
10628,-1
28383,-1
11082,-1
10007,-1
967,-1
30717,-1
34829,-1
8713,-1
27536,-1
15361,1
1557,-1
23967,-1
2644,-1
5654,-1
30061,-1
17258,-1
9392,-1
38571,1
26333,-1
18923,-1
3792,-1
32560,1
11470,-1
38148,-1
18233,1
20377,-1
15017,-1
17315,-1
17484,-1
14584,-1
6434,-1
28349,-1
31018,-1
21239,-1
23589,-1
5421,-1
18629,-1
38989,-1
9103,-1
13204,-1
4518,-1
32820,-1
15576,-1
15069,-1
9512,-1
4146,-1
27817,-1
25529,-1
29509,-1
30592,1
36726,-1
20042,1
19518,-1
7646,-1
35233,-1
26291,-1
35994,-1
37388,-1
36080,-1
15550,-1
8321,-1
39875,-1
2116,-1
17714,-1
18012,-1
7070,-1
12955,1
20041,-1
13022,1
7449,-1
22454,-1
33837,-1
4325,1
17460,-1
10865,-1
14597,-1
10393,-1
16072,-1
23400,-1
13815,-1
31608,-1
608,-1
3946,-1
11857,-1
34781,1
9672,-1
1647,-1
5707,-1
13594,-1
21532,-1
5941,1
15553,-1
31033,-1
9451,-1
14348,-1
29693,1
2133,-1
10644,-1
10030,-1
4152,-1
12522,-1
11489,-1
30349,-1
28213,-1
9205,-1
2875,-1
14170,-1
29842,1
4775,-1
198,-1
28131,-1
24201,-1
22853,-1
34906,-1
24935,-1
23566,-1
13924,-1
3564,-1
27349,-1
17496,1
26444,-1
32434,-1
33634,-1
19931,-1
21712,1
6926,-1
34127,-1
32211,-1
17516,-1
15406,-1
18918,-1
13552,-1
20352,-1
11893,1
36710,-1
24436,-1
9694,-1
16181,-1
36934,-1
11551,-1
17609,-1
26692,-1
29085,-1
35877,-1
26648,-1
29028,-1
1453,-1
18486,-1
19321,-1
28700,-1
39041,1
3265,-1
10508,-1
20497,-1
5775,-1
32374,-1
10424,-1
31887,-1
15267,-1
1866,-1
20120,-1
32491,-1
7870,-1
12119,-1
32005,-1
8913,-1
12309,1
39048,-1
12690,-1
20018,-1
3001,-1
36911,-1
30204,-1
16631,-1
19331,-1
21643,-1
28078,-1
5815,-1
37060,-1
262,-1
8442,-1
23943,-1
15914,-1
22456,-1
39499,-1
3875,-1
13039,-1
23686,-1
33253,-1
34730,-1
24607,-1
17518,-1
13674,-1
24591,-1
14264,-1
13969,-1
20166,-1
18719,-1
9298,-1
28959,-1
11636,-1
28303,-1
32333,-1
28907,-1
37262,-1
3077,-1
23014,1
28968,-1
7605,-1
24745,-1
38546,-1
31058,-1
6515,-1
34488,-1
30630,1
729,-1
34997,-1
6898,-1
13634,-1
26949,-1
36349,-1
19119,-1
24601,-1
36964,-1
36688,-1
13611,-1
37048,-1
22521,-1
20163,-1
21964,1
6735,-1
10453,-1
9464,-1
11501,-1
12492,-1
36215,-1
16634,-1
18203,-1
11124,-1
30641,-1
20222,-1
37995,-1
624,-1
38640,-1
1784,-1
30032,-1
34903,-1
36213,-1
16041,-1
740,1
14563,-1
6253,-1
24043,-1
8435,-1
22955,-1
5134,1
14181,-1
36901,-1
